Name,Latitude,Longitude,Type
Putney,51.4649,-0.2211,hospatial
Queen's Hospital,51.5691,0.1789,hospatial
Queen Charlotte's and Chelsea Hospital,51.5161,-0.2373,hospatial
"Queen Elizabeth Hospital, London",51.4789,0.0511,hospatial
"Queen Mary's Hospital, Roehampton",51.4553,-0.2422,hospatial
"Queen Mary's Hospital, Sidcup",51.4189,0.1014,hospatial
"Richmond, London",51.456,-0.301,hospatial
Richmond Royal Hospital,51.46675,-0.30033333,hospatial
Roehampton,51.451,-0.243,hospatial
Romford,51.5768,0.1801,hospatial
Royal Borough of Kensington and Chelsea,51.5,-0.19,hospatial
Royal Brompton Hospital,51.4894,-0.1707,hospatial
Royal Free Hospital,51.55305556,-0.16527778,hospatial
Royal Hospital Chelsea,51.48638889,-0.15777778,hospatial
Royal Hospital for Neuro-disability,51.4522,-0.2138,hospatial
Royal London Hospital,51.518,-0.0588,hospatial
Royal Marsden Hospital,51.4908,-0.1729,hospatial
Royal National Orthopaedic Hospital,51.632,-0.305,hospatial
"Royal National Throat, Nose and Ear Hospital",51.52916667,-0.11916667,hospatial
Royal Orthopaedic Hospital,51.632,-0.305,hospatial
Sidcup,51.4263,0.1024,hospatial
"Smithfield, London",51.519,-0.102,hospatial
South Kensington,51.4912,-0.1769,hospatial
Southall,51.5121,-0.3779,hospatial
"Southgate, London",51.6316,-0.1265,hospatial
Southwark,51.4988,-0.0901,hospatial
Springfield University Hospital,51.4385,-0.1766,hospatial
"St. Anthony's Hospital, North Cheam",51.37963611,-0.22069167,hospatial
St Ann's Hospital,51.5806,-0.0906,hospatial
St Bartholomew's Hospital,51.5175,-0.1001,hospatial
"St Bernard's Hospital, Hanwell",51.50644,-0.3516,hospatial
St Charles' Hospital,51.5221,-0.2176,hospatial
St George's Hospital,51.4267,-0.1757,hospatial
"St George's Hospital, Havering",51.5468,0.2186,hospatial
St Helier Hospital,51.3803,-0.1836,hospatial
St John's Wood,51.5361,-0.1751,hospatial
St Luke's Hospital for Lunatics,51.52555556,-0.08972222,hospatial
"St Mary's Hospital, London",51.51722222,-0.17305556,hospatial
"St Pancras, London",51.5262,-0.1178,hospatial
St Pancras Hospital,51.53611111,-0.13222222,hospatial
St Thomas' Hospital,51.4991,-0.11891,hospatial
Stanmore,51.618,-0.314,hospatial
Stockwell,51.4633,-0.1204,hospatial
Teddington,51.424,-0.332,hospatial
Teddington Memorial Hospital,51.42580556,-0.34094444,hospatial
The Gordon Hospital,51.4922,-0.136,hospatial
The London Clinic,51.52297222,-0.15027778,hospatial
The Princess Grace Hospital,51.5225,-0.15305556,hospatial
Thornton Heath,51.4002,-0.1086,hospatial
Thorpe Coombe Hospital,51.5907,-0.0079,hospatial
Tolworth,51.3839,-0.2807,hospatial
Tolworth Hospital,51.3795,-0.2891,hospatial
Tooting,51.428,-0.165,hospatial
University College Hospital,51.52524167,-0.13439722,hospatial
University College Hospital at Westmoreland Street,51.51968,-0.14973,hospatial
University Hospital Lewisham,51.4533,-0.0172,hospatial
Walthamstow,51.59,0,hospatial
Watford General Hospital,51.64833333,-0.40388889,hospatial
"Wellington Hospital, London",51.5325,-0.1726,hospatial
West Middlesex University Hospital,51.4736,-0.3257,hospatial
Western Eye Hospital,51.5208,-0.1635,hospatial
Whipps Cross University Hospital,51.5779,0.002,hospatial
Whitechapel,51.5165,-0.075,hospatial
Whittington Hospital,51.5665,-0.1395,hospatial
Wilson Hospital,51.3974,-0.1631,hospatial
Woolwich,51.488,0.063,hospatial
