toid,gml_version,versiondate,function,reasonforchange,functionstatus,functiontheme,perimeter,area,distinctivename1,distinctivename2,distinctivename3,distinctivename4,primaryaddressbaseuprn,stakeholder1,stakeholder2,stakeholder1role,stakeholder2role,extentdefinition,function_codespace,functiontheme_codespace
osgb4000000073326057,3,42542,Hospital,Modified,Operational,Medical Care,570.08,20637.08,King Edward VII Hospital,,,,1.00081E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073326058,6,43663,Hospital,Modified,Operational,Medical Care,497.28,11910.98,The Princess Margaret Hospital,,,,1.00081E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073326061,4,42830,Hospice,Modified,Operational,Medical Care,366.85,6248.92,Pine Lodge Hospice,,,,1.00081E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073326106,4,43790,Medical Care Accommodation,Modified,Operational,Medical Care,292.92,3333.39,Chandos Lodge Nursing Home,,,,1.00081E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073547733,4,43017,Medical Care Accommodation,Modified,Operational,Medical Care,203.37,2106.59,Marling Court,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073326118,3,42542,Medical Care Accommodation,Modified,Operational,Medical Care,334.1,5269.36,The Chiltern Cheshire Home,,,,10003235720,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073326119,7,43773,Medical Care Accommodation,Modified,Operational,Medical Care,737.27,29606.35,Chalfont Lodge Nursing Home,,,,1.00081E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073326124,6,43691,Hospital,Attributes,Operational,Medical Care,396.75,6322.39,The Chalfonts and Gerrards Cross Hospital,,,,1.00081E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073326170,6,43648,Hospital,Attributes,Operational,Medical Care,770.9,25484.82,Amersham Hospital,,,,1.00081E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073326174,4,43636,Medical Care Accommodation,Modified,Operational,Medical Care,377.27,4798.16,Rayners Nursing Home,,,,1.00081E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327039,6,43811,Medical Care Accommodation,Modified,Operational,Medical Care,254.66,3693.01,Elmstead House,171,,,200091273,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327001,4,42542,Medical Care Accommodation,Modified,Operational,Medical Care,308.2,4865.53,The Arkley Nursing Home,,,,200007499,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327002,6,43851,Hospital,Modified,Operational,Medical Care,1717.23,81284.53,Barnet Hospital,,,,200134904,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327033,6,43803,Hospital,Modified,Operational,Medical Care,220.87,2075.39,Hendon Hospital,,,,200110947,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327471,4,42542,Medical Care Accommodation,Modified,Operational,Medical Care,453.62,11379.3,St Vincent's Nursing Home,,,,10022799482,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327043,9,43685,Medical Care Accommodation,Attributes,Operational,Medical Care,317.32,5525.48,221,Maurice and Vivienne Wohl Campus,,,200152152,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327050,5,42628,Medical Care Accommodation,Attributes,Operational,Medical Care,221.28,2982.29,Sage Nursing Home,208,,,200049096,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327053,3,42542,Medical Care Accommodation,Modified,Operational,Medical Care,227.71,3212.22,,,,,200023492,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327057,4,43805,Medical Care Accommodation,Modified,Operational,Medical Care,478.32,3916.17,Candel Court,,,,200200965,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327124,4,42542,Medical Care Accommodation,Modified,Operational,Medical Care,260.24,3876.88,Ogilvy Nursing Home,,,,202103875,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327133,6,42635,Medical Care Accommodation,Modified,Operational,Medical Care,160.78,1507.73,Meera Nursing Home,146,,,202040284,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327534,3,42542,Medical Care Accommodation,Modified,Operational,Medical Care,155.21,1130.14,,,,,12156356,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327159,5,42830,Hospital,Modified,Operational,Medical Care,1447.56,63432.71,Edgware Community Hospital,,,,200219631,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327167,6,42628,Medical Care Accommodation,Modified,Operational,Medical Care,514.34,5938.11,Knights Court Nursing Home,,,,2.00004E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327192,5,42628,Medical Care Accommodation,Attributes,Operational,Medical Care,428.13,8662.2,177,Birchwood Grange Nursing Home,,,202057159,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327197,7,43794,Medical Care Accommodation,Modified,Operational,Medical Care,337.26,5431.76,Kenbrook Nursing Home,100,,,202097117,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327222,6,42542,Hospital,Modified,Operational,Medical Care,2149.59,141795.08,Northwick Park Hospital,,,,202026960,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327223,5,43717,Hospital,Attributes,Operational,Medical Care,1126.13,46224.12,BMI the Clementine Churchill Hospital,,,,10002294380,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327263,5,43836,Medical Care Accommodation,Modified,Operational,Medical Care,496.58,8104.07,Westminster Nursing Home,,,,2E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327455,5,43776,Medical Care Accommodation,Modified,Operational,Medical Care,273.7,2810.07,Parkfield House Nursing Home,,,,1.00021E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327266,5,42542,Medical Care Accommodation,Modified,Operational,Medical Care,741.61,25772.59,Woodland Hill Nursing Home,,,,10002294968,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327279,6,43843,Hospital,Attributes,Operational,Medical Care,579.97,13883.28,Spire Bushey Hospital,,,,,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327283,6,43025,Medical Care Accommodation,Modified,Operational,Medical Care,454.46,7099.17,,,,,10034171732,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327293,4,43840,Medical Care Accommodation,Modified,Operational,Medical Care,616.71,16161.42,Villa Scalabrini Nursing Home,,,,10013030559,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327298,17,44111,Hospital,Modified,Operational,Medical Care,2466.5,163420.32,Kingsley Green Hospital,,,,10024116317,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327299,7,43865,Medical Care Accommodation,Modified,Operational,Medical Care,902.99,25723.23,Houndswood House Care Home,,,,1.00081E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327346,4,43012,Hospice,Modified,Operational,Medical Care,272.49,3281.06,The Peace Hospice,,,,10002003423,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331745,3,42542,Medical Care Accommodation,Modified,Operational,Medical Care,396.07,7795.24,Farmview,,,,2.00001E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327348,11,43860,Hospital,Modified,Operational,Medical Care,2447,92811.23,Watford General Hospital,,,,2.00001E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327359,3,42542,Medical Care Accommodation,Modified,Operational,Medical Care,282.85,3572.43,4,,,,10008852567,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327421,6,43844,Hospital,Modified,Operational,Medical Care,2289.6,165092.08,Harefield Hospital,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327414,6,43854,Hospital,Modified,Operational,Medical Care,1930.53,148744.05,Mount Vernon Hospital,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327415,4,42542,Hospital,Modified,Operational,Medical Care,337.74,5691.09,BMI Bishops Wood Hospital,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327420,5,42628,Medical Care Accommodation,Modified,Operational,Medical Care,635.36,19978.7,,,,,10003000231,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327424,3,42542,Medical Care Accommodation,Modified,Operational,Medical Care,438.46,11196.27,Denham Manor Nursing Home,,,,1.00081E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327537,6,43796,Medical Care Accommodation,Modified,Operational,Medical Care,430.97,11561.78,Manor Court,,,,12159855,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327628,4,43791,Medical Care Accommodation,Modified,Operational,Medical Care,385.14,5579.81,,,,,1.00021E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327689,5,43599,Medical Care Accommodation,Modified,Operational,Medical Care,255.6,2860.83,White Gates Nursing Home,,,,33036214,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327700,5,43026,Medical Care Accommodation,Modified,Operational,Medical Care,746.38,21146.84,St Augustine's Nursing Home,,,,1.00061E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327649,6,43777,Hospital,Modified,Operational,Medical Care,2231.44,125589.94,Hillingdon Hospital,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327662,10,43027,Hospital,Modified,Operational,Medical Care,1292.54,44169.56,Ashford Hospital,,,,33035709,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327680,4,42986,Medical Care Accommodation,Modified,Operational,Medical Care,158.83,1535.33,Woodlands,,,,33036260,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327730,4,42983,Hospital,Modified,Operational,Medical Care,357.63,6178.16,Walton Community Hospital,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327747,5,43157,Medical Care Accommodation,Modified,Operational,Medical Care,213.38,2638.9,Sunbury Nursing Homes,,,,33043047,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327768,4,43011,Hospital,Modified,Operational,Medical Care,378.65,6153.7,Molesey Hospital,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327778,4,42983,Hospice,Modified,Operational,Medical Care,493.49,13342.82,The Princess Alice Hospice,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327779,5,43780,Medical Care Accommodation,Modified,Operational,Medical Care,802.76,13790.39,Arbrook House Nursing Home,,,,1.00061E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327808,5,42899,Medical Care Accommodation,Modified,Operational,Medical Care,240.05,3136.27,Amy Woodgate Centre,,,,128029981,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327814,4,43001,Medical Care Accommodation,Modified,Operational,Medical Care,207.45,2026.61,Milverton Nursing Home,,,,128005992,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327817,7,44260,Hospital,Modified,Operational,Medical Care,905.98,33315.14,Tolworth Hospital,,,,128047023,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327825,5,43001,Medical Care Accommodation,Modified,Operational,Medical Care,289.52,5039.41,Southborough Nursing Home,12,14,,128011173,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
